timestamp,sender,transaction_type,amount,merchant,category,message,user_email
2026-05-03 09:03:54,JT-JIOPAY-S,debit,299,Other,Other,"Your plan Rs 299_28D_1.5GB/D for Jio Number 6381864181 has expired on 03-May-26 08:45 Hrs. You have already recharged with Voice_448 plan, which will automatically get activated to ensure uninterrupted Jio services. 
To view your current and upcoming plan details, click http://tiny.jio.com/dmyjioplans
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",unknown
2026-05-02 09:44:44,JT-JIOPAY-S,debit,299,Other,Other,"Your current plan Rs 299_28D_1.5GB/D for Jio number 6381864181 will expire on 03-May-26 08:45 Hrs. You have an upcoming plan of Voice_448 , which will automatically get activated to ensure uninterrupted Jio services. 
To view your current and upcoming plan details, click http://tiny.jio.com/dmyjioplans 
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans .",unknown
2026-04-06 15:13:43,JM-620040-P,debit,349,Other,Other,Thank you for staying with Jio! Your 5G phone is ready for ultra-fast speeds. Upgrade to our Rs. 349 plan and unlock Unlimited 5G Data. Recharge now and queue it for a seamless transition to Jio True5G. Click www.jio.com/r/TXGyHokhk,unknown
2026-04-05 10:19:36,JM-JIOCPN-P,debit,899,Other,Other,"Dear User,

You’ve earned One Touch Digital AGEasy BP Monitor for ₹899! (CC: JIOBP) on MyJioRecharge. Claim now: https://t.jio/JIOCPN/aBvHKZ T&C*

JioCoupons",unknown
2026-04-05 10:18:56,JM-JIOCPN-P,debit,699,Other,Other,"Dear User,

You’ve earned AGEasy Cervical Pillow at ₹699! (CC: CPJIO40) on MyJioRecharge. Claim now: https://t.jio/JIOCPN/Y1KHKZ T&C*

JioCoupons",unknown
2026-04-04 18:30:16,JT-JIOPAY-S,debit,349,Other,Other,"Recharge plan Expired on 04-Apr-26 18:29 Hrs !
Plan Name : Rs 349_28D_2GB/D
Jio Number : 6381864181
Recharge using MyJio and enjoy zero convenience charges on all recharges.
To recharge - http://tiny.jio.com/dmyjiorchgpl",unknown
2026-04-04 14:17:22,JT-JioPay-S,debit,349,Other,Other,"ALERT!
100% of available Data exhausted as on 04-Apr-26 14:17 !
Jio Number : 6381864181 
Plan Name : Rs 349_28D_2GB/D 
If you do not have other data plan then your internet speed will now be reduced.
To explore and recharge with data packs, click : http://tiny.jio.com/dbuydatapack
To know about your data usage, click : http://tiny1.jio.com/HelpfulTips",unknown
2026-04-04 14:04:58,JT-JioPay-S,debit,349,Other,Other,"ATTENTION!
90% of available data used as on 04-Apr-26 14:04 !
Jio Number : 6381864181
Total Data quota as per plan : 2 GB
Balance Data quota : 199.25 MB
Plan Name : Rs 349_28D_2GB/D
Plan Validity : 04-Apr-26 18:29
If you do not have additional data plan then your internet speed will be reduced once 100% of data quota is used.
To explore and recharge with data packs, click : http://tiny.jio.com/dbuydatapack
For data saving tips, watch this video : http://tiny.jio.com/ydatausageen",unknown
2026-04-03 20:10:56,JT-JIOPAY-S,debit,349,Other,Other,"Current Recharge plan Expiring on 04-Apr-26 18:29 Hrs !
Plan Name : Rs 349_28D_2GB/D
Jio Number : 6381864181
Recharge using MyJio and enjoy zero convenience charges on all recharges.
To recharge - http://tiny.jio.com/dmyjiorchgpl",unknown
2026-03-09 11:19:30,JM-JIOCPN-P,debit,7999,Other,Other,"Dear User,

You’ve earned a free Gen AI course with upGrad worth ₹7,999 (CC: GROW2026) on Jio Recharge. Claim now: https://t.jio/JIOCPN/lLlR69 T&C*

JioCoupons",unknown
